"","x"
"325","OAS1"
"326","KIF16B"
"327","FUS"
"328","HEPH"
"329","ZBTB25"
"330","RCOR1"
"331","SLC9A1"
"332","NDUFB2"
"333","IRAK3"
"334","TFAP4"
"335","DNAJB11"
"336","P3H2"
"337","RAB11FIP3"
"338","GOLGA3"
"339","PDPR"
"340","PLEKHG2"
"341","DLL3"
"342","PITPNM2"
"343","EXOC1"
"344","DTX2"
"345","SEL1L3"
"346","SPAG7"
"347","ZFHX4"
"348","CCDC80"
"349","PSME1"
"350","OSGEP"
"351","SLC22A17"
"352","G2E3"
"353","PHGDH"
"354","EZR"
"355","MYL6"
"356","RFFL"
"357","TGFB2"
"358","UPRT"
"359","DHPS"
"360","TMEM38B"
"361","PSMD5"
"362","CRAT"
"363","IKZF5"
"364","SORBS1"
"365","FKBP5"
"366","EFHC1"
"367","DSP"
"368","SIRT1"
"369","JAK2"
"370","ACOT7"
"371","CDC7"
"372","MACROH2A2"
"373","OCEL1"
"374","HSD3B7"
"375","SETD1A"
"376","ATP5F1D"
"377","POLR2E"
"378","RASSF7"
"379","BCL2L13"
"380","DDT"
"381","CABIN1"
"382","SLC35E4"
"383","HIRA"
"384","LGALS1"
"385","HPS4"
"386","PIK3IP1"
"387","SRRD"
"388","TRIOBP"
"389","GCAT"
"390","DDX17"
"391","HSCB"
"392","TOMM22"
"393","FBXO7"
"394","GTPBP1"
"395","POLDIP3"
"396","RHBDD3"
"397","TTLL1"
"398","TOM1"
"399","THOC5"
"400","ARSA"
"401","TSPO"
"402","ZMAT5"
"403","MYH9"
"404","SAMM50"
"405","FOXRED2"
"406","IFT27"
"407","L3MBTL2"
"408","PHF5A"
"409","PMM1"
"410","DESI1"
"411","HDAC10"
"412","KHNYN"
"413","SDR39U1"
"414","SOS2"
"415","CDKL1"
"416","PYGL"
"417","DDHD1"
"418","PIGH"
"419","TMED8"
"420","SIX4"
"421","HIF1A"
"422","SUSD6"
"423","TELO2"
"424","ACIN1"
"425","CCNB1IP1"
"426","CINP"
"427","PSMA6"
"428","NFKBIA"
"429","GMPR2"
"430","NFATC4"
"431","PLTP"
"432","PROCR"
"433","NINL"
"434","PABPC1L"
"435","STK4"
"436","RAE1"
"437","MTG2"
"438","ARFGAP1"
"439","EEF1A2"
"440","NDUFAF5"
"441","TRIB3"
"442","PLCB4"
"443","MYL9"
"444","POFUT1"
"445","MANBAL"
"446","IDH3B"
"447","PXMP4"
"448","APMAP"
"449","ZNF516"
"450","ADNP2"
"451","RBFA"
"452","VAPA"
"453","METTL4"
"454","MYL12A"
"455","POLI"
"456","RBBP8"
"457","STS"
"458","TBL1X"
"459","POLA1"
"460","PRPS2"
"461","SRPX"
"462","STAG2"
"463","ATP11C"
"464","CCDC22"
"465","PLS3"
"466","ELF4"
"467","EMD"
"468","TAZ"
"469","CD99L2"
"470","KLHL4"
"471","RBM3"
"472","PBDC1"
"473","NALCN"
"474","CAB39L"
"475","KLF5"
"476","PARP4"
"477","SUPT20H"
"478","MRPS31"
"479","SLC25A15"
"480","DHRS12"
"481","TRADD"
"482","HSF4"
"483","NUTF2"
"484","CENPT"
"485","POLR2C"
"486","ZNF821"
"487","USB1"
"488","PLA2G15"
"489","CMC2"
"490","AXIN1"
