"","x"
"323","DOP1A"
"324","LYRM2"
"325","TUT7"
"326","TNPO1"
"327","OXCT1"
"328","ZNF671"
"329","ZNF264"
"330","SMAP2"
"331","SSH1"
"332","GSTP1"
"333","WBP11"
"334","HADHA"
"335","MAPRE3"
"336","BCORL1"
"337","ATRX"
"338","ABCB1"
"339","RRN3"
"340","MTIF2"
"341","MGST2"
"342","ATG16L1"
"343","B4GALT1"
"344","CHMP5"
"345","DIMT1"
"346","EPDR1"
"347","SNX10"
"348","SEPHS1"
"349","MRPL28"
"350","ITPKC"
"351","RBM22"
"352","HUWE1"
"353","ALG9"
"354","PPP1R15A"
"355","NLK"
"356","PIGS"
"357","ADAMTS2"
"358","ADD1"
"359","TXNDC16"
"360","KLHL42"
"361","DNM1L"
"362","PTHLH"
"363","PTPN4"
"364","DDX18"
"365","EDEM2"
"366","DNMT3B"
"367","ANKRD10"
"368","COQ9"
"369","ATRN"
"370","XRN2"
"371","TESC"
"372","SNX5"
"373","MAPKAPK5"
"374","ANAPC5"
"375","DZANK1"
"376","TASP1"
"377","PXN"
"378","ERP29"
"379","IGBP1"
"380","CDIP1"
"381","GMIP"
"382","DHX32"
"383","GPATCH2L"
"384","LTBP4"
"385","BLVRB"
"386","YPEL3"
"387","NUDC"
"388","ICAM1"
"389","MUL1"
"390","PDCD7"
"391","GNPTG"
"392","ZNF268"
"393","EFNB1"
"394","KIF4A"
"395","RBM27"
"396","PUS7"
"397","ITGA6"
"398","ORC6"
"399","RGS17"
"400","ANGPT2"
"401","TMEM101"
"402","CCDC80"
"403","SLC7A8"
"404","SCFD1"
"405","HNRNPC"
"406","SUPT16H"
"407","COL9A3"
"408","EZR"
"409","AGO1"
"410","CDC45"
"411","SEC22C"
"412","XYLB"
"413","UPRT"
"414","CBX5"
"415","SUCO"
"416","MSH2"
"417","HOOK2"
"418","PTGS1"
"419","NANS"
"420","WHRN"
"421","CYP26A1"
"422","IL11"
"423","FKBP5"
"424","TMEM14A"
"425","ITPR3"
"426","ZNF184"
"427","JAK2"
"428","SYDE2"
"429","SCD"
"430","ABLIM1"
"431","RAB18"
"432","NRP1"
"433","MZF1"
"434","MYO9B"
"435","KCNK6"
"436","PSMD8"
"437","FBXL19"
"438","BCL7C"
"439","CIRBP"
"440","TIMM13"
"441","POLRMT"
"442","HCN2"
"443","GADD45B"
"444","PALM"
"445","MKNK2"
"446","KLHL22"
"447","CRKL"
"448","DERL3"
"449","TBC1D10A"
"450","RNF215"
"451","SEC14L2"
"452","PPIL2"
"453","YPEL1"
"454","MAPK1"
"455","PPM1F"
"456","TOP3B"
"457","ESS2"
"458","GRK3"
"459","PATZ1"
"460","GCAT"
"461","CCDC134"
"462","TCF20"
"463","CBY1"
"464","XBP1"
"465","JOSD1"
"466","RAB36"
"467","SUN2"
"468","HMGXB4"
"469","THOC5"
"470","MCM5"
"471","TTLL12"
"472","RBFOX2"
"473","SYNGR1"
"474","TAB1"
"475","SGSM3"
"476","SLC25A17"
"477","RBX1"
"478","ACO2"
"479","CERK"
"480","BRD1"
"481","ABHD4"
"482","FKBP3"
"483","RBM23"
"484","PRMT5"
