"","x"
"324","CDC14A"
"325","PGM1"
"326","DNM2"
"327","RABL2B"
"328","KEAP1"
"329","RFX3"
"330","PSEN1"
"331","CPOX"
"332","MOK"
"333","RBL1"
"334","RSBN1"
"335","CXCL2"
"336","ARG2"
"337","STK17B"
"338","ZNF506"
"339","HSPB11"
"340","PHLPP1"
"341","ATP8B1"
"342","BZW1"
"343","FAM135A"
"344","DLG3"
"345","SERTAD4"
"346","TRAF5"
"347","ITGB5"
"348","KAT6A"
"349","PLOD1"
"350","ITGAE"
"351","NUFIP1"
"352","OXCT1"
"353","CYLD"
"354","SLC27A5"
"355","ZNF586"
"356","ZNF446"
"357","FAT1"
"358","NOA1"
"359","APLP2"
"360","NCOA1"
"361","AGBL5"
"362","CD82"
"363","PREP"
"364","HACE1"
"365","SLC25A24"
"366","MAP3K4"
"367","CPNE3"
"368","CTTN"
"369","USP40"
"370","POMGNT1"
"371","NOX4"
"372","ACOX3"
"373","TRIP6"
"374","PGS1"
"375","UIMC1"
"376","LPCAT2"
"377","SH3BP2"
"378","NOP14"
"379","L2HGDH"
"380","PTHLH"
"381","PIR"
"382","RFX2"
"383","KHSRP"
"384","ASAP3"
"385","DOCK9"
"386","TGDS"
"387","KIF9"
"388","ARHGAP28"
"389","FKBP1A"
"390","SLC4A11"
"391","C20orf194"
"392","EBF4"
"393","MAVS"
"394","LZTS3"
"395","DYNLL1"
"396","TMEM230"
"397","KIF16B"
"398","FUS"
"399","HEPH"
"400","MLF2"
"401","ZBTB25"
"402","RCOR1"
"403","SLC9A1"
"404","PCBP4"
"405","MRPS33"
"406","NDUFB2"
"407","IRAK3"
"408","TFAP4"
"409","DNAJB11"
"410","P3H2"
"411","RAB11FIP3"
"412","GOLGA3"
"413","PABPC4"
"414","CERS4"
"415","PDPR"
"416","PLEKHG2"
"417","DLL3"
"418","PITPNM2"
"419","EXOC1"
"420","DTX2"
"421","PUS7"
"422","MAP3K20"
"423","SEL1L3"
"424","SPAG7"
"425","ZFHX4"
"426","TMEM101"
"427","CCDC80"
"428","PSME1"
"429","OSGEP"
"430","SLC22A17"
"431","G2E3"
"432","SEMA6A"
"433","PHGDH"
"434","RFFL"
"435","TGFB2"
"436","UPRT"
"437","DHPS"
"438","ARCN1"
"439","TMEM38B"
"440","PSMD5"
"441","CRAT"
"442","IKZF5"
"443","SORBS1"
"444","CREM"
"445","FKBP5"
"446","EFHC1"
"447","DSP"
"448","SIRT1"
"449","JAK2"
"450","ABL1"
"451","ACOT7"
"452","CDC7"
"453","SYDE2"
"454","MACROH2A2"
"455","OCEL1"
"456","HSD3B7"
"457","SETD1A"
"458","ATP5F1D"
"459","CBARP"
"460","TECR"
"461","POLR2E"
"462","RASSF7"
"463","BCL2L13"
"464","DDT"
"465","GGT5"
"466","SLC35E4"
"467","CARD10"
"468","SLC25A1"
"469","HIRA"
"470","HPS4"
"471","PIK3IP1"
"472","SRRD"
"473","TRIOBP"
"474","GCAT"
"475","EIF3L"
"476","MICALL1"
"477","DDX17"
"478","HSCB"
"479","TOMM22"
"480","FBXO7"
"481","GTPBP1"
"482","POLDIP3"
"483","PPP6R2"
"484","SBF1"
"485","DNAL4"
"486","RHBDD3"
"487","TTLL1"
"488","TOM1"
"489","ARSA"
"490","TSPO"
"491","CBX7"
"492","ZMAT5"
"493","MIEF1"
"494","MYH9"
"495","SAMM50"
"496","FOXRED2"
"497","EIF3D"
"498","IFT27"
"499","L3MBTL2"
"500","RANGAP1"
"501","PHF5A"
"502","PMM1"
"503","DESI1"
"504","HDAC10"
"505","KHNYN"
"506","SDR39U1"
"507","SOS2"
"508","CDKL1"
"509","PYGL"
"510","DDHD1"
"511","PIGH"
"512","TMED8"
"513","RIN3"
"514","SNW1"
"515","SIX4"
"516","HIF1A"
"517","SUSD6"
"518","SRSF5"
"519","TELO2"
"520","ACIN1"
"521","CCNB1IP1"
"522","TRIP11"
"523","ARHGAP5"
"524","CINP"
"525","NFKBIA"
"526","GMPR2"
"527","NFATC4"
"528","PLTP"
"529","GSS"
"530","PROCR"
"531","NINL"
"532","PABPC1L"
"533","STK4"
"534","RAE1"
"535","MTG2"
"536","ARFGAP1"
"537","EEF1A2"
"538","CDC25B"
"539","NDUFAF5"
"540","TRIB3"
"541","PLCB4"
"542","MYL9"
"543","POFUT1"
"544","SAMHD1"
"545","MANBAL"
"546","IDH3B"
"547","JAG1"
"548","PXMP4"
"549","CHMP4B"
"550","PIGU"
"551","ACOT8"
"552","APMAP"
"553","ZNF516"
"554","ADNP2"
"555","RBFA"
"556","VAPA"
"557","METTL4"
"558","MYL12A"
"559","CEP76"
"560","POLI"
"561","RBBP8"
"562","STS"
"563","TBL1X"
"564","PGRMC1"
"565","POLA1"
"566","PRPS2"
"567","SRPX"
"568","STAG2"
"569","ATP11C"
"570","PLS3"
"571","ELF4"
"572","SLC35A2"
"573","EMD"
"574","TAZ"
"575","SMS"
"576","CD99L2"
"577","KLHL4"
"578","PIN4"
"579","RBM3"
"580","PBDC1"
"581","NALCN"
"582","CAB39L"
"583","KLF5"
"584","PARP4"
"585","SUPT20H"
"586","MRPS31"
"587","SLC25A15"
"588","KATNAL1"
"589","DHRS12"
"590","TRADD"
"591","HSF4"
"592","NUTF2"
"593","CENPT"
"594","POLR2C"
"595","ZNF821"
"596","USB1"
"597","PLA2G15"
"598","CMC2"
"599","HCFC1R1"
"600","MLYCD"
"601","MPG"
"602","TAF1C"
"603","COTL1"
"604","CRISPLD2"
"605","ABCC1"
"606","FOXF1"
"607","MTHFSD"
"608","ANTKMT"
"609","SLC7A5"
"610","METRN"
"611","FBXO31"
"612","STUB1"
"613","NUBP1"
"614","UBFD1"
"615","SALL1"
"616","XYLT1"
"617","PYCARD"
"618","CDIPT"
"619","AAGAB"
"620","LACTB"
"621","TRIP4"
"622","VPS18"
"623","MYEF2"
"624","CSPP1"
"625","ZDHHC2"
"626","TRIM35"
"627","ZFAND1"
"628","FZD3"
"629","RIPK2"
"630","LAPTM4B"
"631","PLAT"
"632","GDAP1"
"633","EIF3E"
"634","EMC2"
"635","CCN4"
"636","NDRG1"
"637","TRPS1"
"638","CHRAC1"
"639","UBR5"
"640","GSDMD"
"641","TSTA3"
"642","MTMR9"
"643","UBXN8"
"644","ERICH1"
"645","TUSC3"
"646","ARHGEF10"
"647","BNIP3L"
"648","ECH1"
"649","HNRNPL"
"650","NFKBIB"
"651","PIH1D1"
"652","PPP1R13L"
"653","PLEKHJ1"
"654","TBC1D17"
"655","PTOV1"
"656","MED25"
"657","IL27RA"
"658","VRK3"
"659","FAM32A"
"660","OLFM2"
"661","ANKRD27"
"662","FBL"
"663","GPI"
"664","EBI3"
"665","APLP1"
"666","CACTIN"
"667","BBC3"
"668","DMAC2"
"669","PLIN3"
"670","NOP53"
"671","ETFB"
"672","NAPA"
"673","RABAC1"
"674","MEIS3"
"675","MEGF8"
"676","CARD8"
"677","PLA2G4C"
"678","TMEM205"
"679","PLPPR2"
"680","PLEKHA4"
"681","WDR83OS"
"682","DNASE2"
"683","ARRDC2"
"684","RAB3A"
"685","ELL"
"686","TMEM147"
"687","TMEM59L"
"688","KXD1"
"689","SIPA1L3"
"690","ETHE1"
"691","CDK6"
"692","TFPI2"
"693","BET1"
"694","NAMPT"
"695","HBP1"
"696","PTN"
"697","MPP6"
"698","ZC3HAV1"
"699","ADAP1"
"700","LMBR1"
"701","DNAJB6"
"702","BRAT1"
"703","TSPAN12"
"704","FKBP14"
"705","NOD1"
"706","GARS1"
"707","MINDY4"
"708","CHCHD2"
"709","HSPB1"
"710","AIMP2"
"711","MOSPD3"
"712","SERPINE1"
"713","AP1S1"
"714","GLCCI1"
"715","PHF14"
"716","EZH2"
"717","RARRES2"
"718","AHR"
"719","GLI3"
"720","COA1"
"721","PRKAG2"
"722","POLD2"
"723","TBL2"
"724","LIMK1"
"725","SLC1A1"
"726","SPIN1"
"727","MEGF9"
"728","TRIM14"
"729","TLE4"
"730","PTGR1"
"731","DNM1"
"732","KANK1"
"733","FUBP3"
"734","TYRP1"
"735","CREB3"
"736","MPDZ"
"737","DDX58"
"738","GLIS3"
"739","SETX"
"740","PTGDS"
"741","SHB"
"742","UBE2R2"
"743","ABHD17B"
"744","EXOSC3"
"745","PHYH"
"746","RAB11FIP2"
"747","CXCL12"
"748","MAPK8"
"749","ATE1"
"750","NSMCE4A"
"751","UNC5B"
"752","VSIR"
"753","PPP3CB"
"754","CCSER2"
"755","KAZALD1"
"756","LARP4B"
"757","GTPBP4"
"758","SH3PXD2A"
"759","GLRX3"
"760","CCNY"
"761","ZMIZ1"
"762","PPIF"
"763","PBLD"
"764","TSPAN14"
"765","NUFIP2"
"766","SEPTIN4"
"767","KPNB1"
"768","RECQL5"
"769","PIGL"
"770","GALK1"
"771","INTS2"
"772","HOXB6"
"773","ENO3"
"774","GOSR1"
"775","UTP6"
"776","CCL2"
"777","EZH1"
"778","HDAC5"
"779","ABCC3"
"780","LUC7L3"
"781","EFTUD2"
"782","FAM20A"
"783","DHRS7B"
"784","TNFAIP1"
"785","TMEM97"
"786","USP46"
"787","LAMTOR3"
"788","PF4V1"
"789","NFKB1"
"790","MANBA"
"791","ELF2"
"792","CPE"
"793","GRPEL1"
"794","FRG1"
"795","AADAT"
"796","TBC1D19"
"797","GLRB"
"798","BST1"
"799","RAPGEF2"
"800","KLF3"
"801","UGDH"
"802","CCDC34"
"803","ZBTB16"
"804","ELP4"
"805","MTCH2"
"806","VWA5A"
"807","DNAJC4"
"808","SIAE"
"809","ATG2A"
"810","EHD1"
"811","DCPS"
"812","FOXRED1"
"813","PPP6R3"
"814","CCND1"
"815","ARHGEF17"
"816","FBXO3"
"817","SLC15A3"
"818","MDK"
"819","MADD"
"820","PTPMT1"
"821","CARS1"
"822","SLC35F2"
"823","SOX6"
"824","EXPH5"
"825","HPS5"
"826","PSMD9"
"827","P3H3"
"828","CLEC2B"
"829","CORO1C"
"830","ASIC1"
"831","MVK"
"832","ATP5F1B"
"833","BCL7A"
"834","WNT5B"
"835","ACAD10"
"836","ALDH2"
"837","ARHGDIB"
"838","DDX55"
"839","SLC38A1"
"840","C12orf49"
"841","RFC5"
"842","STX2"
"843","GAPDH"
"844","TPI1"
"845","ENO2"
"846","LPCAT3"
"847","NT5DC3"
"848","PRKAB1"
"849","FGFR1OP2"
"850","COL12A1"
"851","PAK1IP1"
"852","ASF1A"
"853","MAN1A1"
"854","TPD52L1"
"855","UST"
"856","ULBP1"
"857","MAPK14"
"858","STK38"
"859","MRPL18"
"860","RBM24"
"861","CAP2"
"862","BAG2"
"863","GPR63"
"864","E2F3"
"865","ALDH5A1"
"866","SNX3"
"867","TRIM38"
"868","PERP"
"869","HECA"
"870","PHACTR2"
"871","CUTA"
"872","MDFI"
"873","TFEB"
"874","CCND3"
"875","PTK7"
"876","CUL9"
"877","DNPH1"
"878","DUSP22"
"879","EXOC2"
"880","GMDS"
"881","VEGFA"
"882","PRPF4B"
"883","ERBIN"
"884","PCDHB2"
"885","SEMA5A"
"886","NME5"
"887","MRPS27"
"888","HBEGF"
"889","TMCO6"
"890","IK"
"891","CERT1"
"892","FAF2"
"893","CLK4"
"894","THG1L"
"895","LNPEP"
"896","RAD1"
"897","RAD50"
"898","GNPDA1"
"899","NUP155"
"900","FGF1"
"901","LIFR"
"902","TRAPPC13"
"903","TTC33"
"904","ERGIC1"
"905","STC2"
"906","DBN1"
"907","ACTR8"
"908","TIMMDC1"
"909","AMOTL2"
"910","FAM162A"
"911","OGG1"
"912","TFDP2"
"913","PRKAR2A"
"914","ECT2"
"915","C3orf14"
"916","CBLB"
"917","GNB4"
"918","IQCG"
"919","NCBP2"
"920","SLC41A3"
"921","PLXNA1"
