"","x"
"324","UBE2A"
"325","FGFR1"
"326","FBLN1"
"327","ARAF"
"328","MCCC1"
"329","ACER3"
"330","N4BP2"
"331","TULP3"
"332","PPP2R5C"
"333","GNB1"
"334","EDN1"
"335","MLLT10"
"336","ITM2A"
"337","SDF4"
"338","RUNX1T1"
"339","OSBPL6"
"340","LXN"
"341","SENP1"
"342","FDFT1"
"343","PGM1"
"344","RABL2B"
"345","KEAP1"
"346","RFX3"
"347","RAB21"
"348","PSEN1"
"349","CPOX"
"350","MOK"
"351","HSP90AA1"
"352","DLGAP4"
"353","RSBN1"
"354","CXCL2"
"355","AFP"
"356","ZNF506"
"357","HSPB11"
"358","PHLPP1"
"359","ATP8B1"
"360","C5orf22"
"361","FAM135A"
"362","DLG3"
"363","TRAF5"
"364","GEMIN5"
"365","ITGB5"
"366","BCKDHB"
"367","PLOD1"
"368","P2RX5"
"369","ITGAE"
"370","NUFIP1"
"371","RRAGB"
"372","CYLD"
"373","SLC27A5"
"374","ZNF586"
"375","ZNF446"
"376","FAT1"
"377","STARD7"
"378","NOA1"
"379","GSTP1"
"380","APLP2"
"381","NKAIN1"
"382","NCOA1"
"383","CAD"
"384","ATRX"
"385","AK6"
"386","PREP"
"387","HACE1"
"388","SLC25A24"
"389","MAP3K4"
"390","CTTN"
"391","ORC1"
"392","CHERP"
"393","POMGNT1"
"394","RAD54L"
"395","IPO11"
"396","ERO1B"
"397","ZW10"
"398","NOX4"
"399","ACOX3"
"400","TRIP6"
"401","BAX"
"402","ATXN7L3"
"403","PGS1"
"404","UIMC1"
"405","LPCAT2"
"406","SH3BP2"
"407","NOP14"
"408","L2HGDH"
"409","NID2"
"410","SF3B2"
"411","GNAS"
"412","RFX2"
"413","ALG6"
"414","KHSRP"
"415","DOCK9"
"416","TGDS"
"417","KIF9"
"418","FKBP1A"
"419","NSFL1C"
"420","ZNF343"
"421","MAVS"
"422","KIZ"
"423","DYNLL1"
"424","RBBP9"
"425","ANAPC5"
"426","TMEM230"
"427","TASP1"
"428","SIRT4"
"429","KIF16B"
"430","FUS"
"431","ZNF302"
"432","HEPH"
"433","MLF2"
"434","ZBTB25"
"435","RCOR1"
"436","SLC9A1"
"437","PCBP4"
"438","MRPS33"
"439","NDUFB2"
"440","IRAK3"
"441","TFAP4"
"442","SPG21"
"443","DNAJB11"
"444","P3H2"
"445","RAB11FIP3"
"446","GOLGA3"
"447","PABPC4"
"448","CERS4"
"449","PDPR"
"450","GLG1"
"451","PLEKHG2"
"452","DLL3"
"453","EXOC1"
"454","OSBPL8"
"455","DTX2"
"456","WDR7"
"457","SEL1L3"
"458","PSME1"
"459","OSGEP"
"460","G2E3"
"461","WDR76"
"462","RFFL"
"463","UNC13D"
"464","TGFB2"
"465","ADA2"
"466","DHPS"
"467","ARCN1"
"468","TMEM38B"
"469","PSMD5"
"470","CRAT"
"471","CWF19L1"
"472","BTAF1"
"473","IKZF5"
"474","CREM"
"475","NUBP2"
"476","EFHC1"
"477","DSP"
"478","SIRT1"
"479","ABL1"
"480","ACOT7"
"481","CDC7"
"482","ERMP1"
"483","RAB18"
"484","MACROH2A2"
"485","OCEL1"
"486","HSD3B7"
"487","SETD1A"
"488","ATP5F1D"
"489","IZUMO4"
"490","RASSF7"
"491","ARVCF"
"492","LZTR1"
"493","BCL2L13"
"494","DDT"
"495","SF3A1"
"496","CARD10"
"497","SLC25A1"
"498","HIRA"
"499","HPS4"
"500","PIK3IP1"
"501","SRRD"
"502","TRIOBP"
"503","ANKRD54"
"504","DDX17"
"505","HSCB"
"506","TOMM22"
"507","FBXO7"
"508","GTPBP1"
"509","POLDIP3"
"510","PPP6R2"
"511","SBF1"
"512","DNAL4"
"513","RHBDD3"
"514","TOM1"
"515","ARSA"
"516","ZMAT5"
"517","ASCC2"
"518","MIEF1"
"519","PNPLA3"
"520","MYH9"
"521","FOXRED2"
"522","IFT27"
"523","L3MBTL2"
"524","RANGAP1"
"525","PHF5A"
"526","PMM1"
"527","DESI1"
"528","HDAC10"
"529","KHNYN"
"530","SDR39U1"
"531","AP4S1"
"532","SOS2"
"533","CDKL1"
"534","NIN"
"535","PYGL"
"536","DDHD1"
"537","CDKN3"
"538","PIGH"
"539","TIMM9"
"540","TMED8"
"541","RIN3"
"542","GALNT16"
"543","HIF1A"
"544","TELO2"
"545","BDKRB1"
"546","ACIN1"
"547","CCNB1IP1"
"548","TRIP11"
"549","ARHGAP5"
"550","CINP"
"551","PCK2"
"552","GMPR2"
"553","NFATC4"
"554","PLTP"
"555","PROCR"
"556","NINL"
"557","NDRG3"
"558","PABPC1L"
"559","STK4"
"560","CSTF1"
"561","MTG2"
"562","TCFL5"
"563","EEF1A2"
"564","CDC25B"
"565","NDUFAF5"
"566","TRIB3"
"567","PLCB4"
"568","MYL9"
"569","TM9SF4"
"570","SAMHD1"
"571","IDH3B"
"572","JAG1"
"573","PXMP4"
"574","TNNC2"
"575","ACOT8"
"576","APMAP"
"577","ADNP2"
"578","RBFA"
"579","METTL4"
"580","MYL12A"
"581","CEP76"
"582","CEP192"
"583","POLI"
"584","MIB1"
"585","RBBP8"
"586","STS"
"587","TBL1X"
"588","PGRMC1"
"589","POLA1"
"590","NKAP"
"591","PRPS2"
"592","SUV39H1"
"593","SRPX"
"594","STAG2"
"595","ATP11C"
"596","PLS3"
"597","NAA10"
"598","ELF4"
"599","SLC25A14"
"600","SLC35A2"
"601","PQBP1"
"602","EMD"
"603","TAZ"
"604","SMS"
"605","UBL4A"
"606","KLHL4"
"607","RBM3"
"608","PBDC1"
"609","CAB39L"
"610","KLF5"
"611","UGGT2"
"612","PARP4"
"613","SUPT20H"
"614","MRPS31"
"615","KPNA3"
"616","DHRS12"
"617","ZNF629"
"618","TRADD"
"619","NUTF2"
"620","CENPT"
"621","PARD6A"
"622","ZNF821"
"623","USB1"
"624","CCDC113"
"625","SETD6"
"626","TANGO6"
"627","PLA2G15"
"628","CMC2"
"629","MLYCD"
"630","MPG"
"631","HSDL1"
"632","TAF1C"
"633","COTL1"
"634","CRISPLD2"
"635","MTHFSD"
"636","ANTKMT"
"637","SLC7A5"
"638","METRN"
"639","FBXO31"
"640","STUB1"
"641","NUBP1"
"642","EEF2K"
"643","HMOX2"
"644","RBL2"
"645","PYCARD"
"646","MAZ"
"647","BCKDK"
"648","AAGAB"
"649","LACTB"
"650","CORO2B"
"651","MYEF2"
"652","CSPP1"
"653","ZFAND1"
"654","INTS9"
"655","RIPK2"
"656","PLAT"
"657","GDAP1"
"658","EMC2"
"659","NDRG1"
"660","ZC2HC1A"
"661","TRPS1"
"662","SPAG1"
"663","CHRAC1"
"664","SNX16"
"665","UBR5"
"666","GSDMD"
"667","TSTA3"
"668","INTS10"
"669","ERI1"
"670","MTMR9"
"671","UBXN8"
"672","ERICH1"
"673","TUSC3"
"674","ARHGEF10"
"675","MCM4"
"676","ASAH1"
"677","NUCB1"
"678","DHDH"
"679","ECH1"
"680","HNRNPL"
"681","NFKBIB"
"682","PPP1R37"
"683","PIH1D1"
"684","PLEKHJ1"
"685","RNASEH2A"
"686","AMH"
"687","CCDC130"
"688","TLE5"
"689","MED25"
"690","SNAPC2"
"691","ASF1B"
"692","VRK3"
"693","AKAP8"
"694","FBL"
"695","NUMBL"
"696","EBI3"
"697","APLP1"
"698","CACTIN"
"699","BBC3"
"700","DMAC2"
"701","PLIN3"
"702","NOP53"
"703","ETFB"
"704","MEIS3"
"705","CARD8"
"706","LIG1"
"707","PLA2G4C"
"708","TMEM205"
"709","PLPPR2"
"710","PLEKHA4"
"711","PPP2R1A"
"712","TNPO2"
"713","DNASE2"
"714","TMEM59L"
"715","ZNF574"
"716","GRIK5"
"717","SIPA1L3"
"718","ETHE1"
"719","CFAP69"
"720","GTPBP10"
"721","CDK6"
"722","BET1"
"723","NAMPT"
"724","PTN"
"725","MPP6"
"726","OGDH"
"727","ADAP1"
"728","RNF32"
"729","DNAJB6"
"730","LFNG"
"731","BRAT1"
"732","FKBP14"
"733","NOD1"
"734","GARS1"
"735","MINDY4"
"736","CHCHD2"
"737","AIMP2"
"738","MOSPD3"
"739","SERPINE1"
"740","AP1S1"
"741","ZNHIT1"
"742","GLCCI1"
"743","PHF14"
"744","CEP41"
"745","RARRES2"
"746","AHR"
"747","GLI3"
"748","TMEM248"
"749","PRKAG2"
"750","POLD2"
"751","TBL2"
"752","SPATA6L"
"753","SLC1A1"
"754","FSD1L"
"755","SPIN1"
"756","MEGF9"
"757","TRIM14"
"758","TLE4"
"759","PTGR1"
"760","RLN2"
"761","TBC1D13"
"762","KANK1"
"763","ELAVL2"
"764","CREB3"
"765","MPDZ"
"766","BAG1"
"767","NPDC1"
"768","SETX"
"769","ABHD17B"
"770","EXOSC3"
"771","PDLIM1"
"772","PHYH"
"773","RAB11FIP2"
"774","CXCL12"
