"","x"
"326","OAS1"
"327","KIF16B"
"328","FUS"
"329","HEPH"
"330","ZBTB25"
"331","RCOR1"
"332","SLC9A1"
"333","NDUFB2"
"334","IRAK3"
"335","TFAP4"
"336","DNAJB11"
"337","P3H2"
"338","RAB11FIP3"
"339","GOLGA3"
"340","PDPR"
"341","PLEKHG2"
"342","DLL3"
"343","PITPNM2"
"344","EXOC1"
"345","DTX2"
"346","SEL1L3"
"347","SPAG7"
"348","ZFHX4"
"349","CCDC80"
"350","PSME1"
"351","OSGEP"
"352","SLC22A17"
"353","G2E3"
"354","PHGDH"
"355","EZR"
"356","MYL6"
"357","RFFL"
"358","TGFB2"
"359","UPRT"
"360","DHPS"
"361","TMEM38B"
"362","PSMD5"
"363","CRAT"
"364","IKZF5"
"365","SORBS1"
"366","CREM"
"367","FKBP5"
"368","EFHC1"
"369","DSP"
"370","SIRT1"
"371","JAK2"
"372","ACOT7"
"373","CDC7"
"374","MACROH2A2"
"375","OCEL1"
"376","HSD3B7"
"377","SETD1A"
"378","ATP5F1D"
"379","POLR2E"
"380","RASSF7"
"381","BCL2L13"
"382","DDT"
"383","CABIN1"
"384","SLC35E4"
"385","CARD10"
"386","HIRA"
"387","LGALS1"
"388","HPS4"
"389","PIK3IP1"
"390","SRRD"
"391","TRIOBP"
"392","GCAT"
"393","DDX17"
"394","HSCB"
"395","TOMM22"
"396","FBXO7"
"397","GTPBP1"
"398","POLDIP3"
"399","RHBDD3"
"400","TTLL1"
"401","TOM1"
"402","THOC5"
"403","ARSA"
"404","TSPO"
"405","ZMAT5"
"406","MYH9"
"407","SAMM50"
"408","FOXRED2"
"409","IFT27"
"410","L3MBTL2"
"411","PHF5A"
"412","PMM1"
"413","DESI1"
"414","HDAC10"
"415","KHNYN"
"416","SDR39U1"
"417","SOS2"
"418","CDKL1"
"419","PYGL"
"420","DDHD1"
"421","PIGH"
"422","TMED8"
"423","SIX4"
"424","HIF1A"
"425","SUSD6"
"426","TELO2"
"427","ACIN1"
"428","CCNB1IP1"
"429","CINP"
"430","PSMA6"
"431","NFKBIA"
"432","GMPR2"
"433","NFATC4"
"434","PLTP"
"435","PROCR"
"436","NINL"
"437","PABPC1L"
"438","STK4"
"439","RAE1"
"440","MTG2"
"441","ARFGAP1"
"442","EEF1A2"
"443","NDUFAF5"
"444","TRIB3"
"445","PLCB4"
"446","MYL9"
"447","POFUT1"
"448","MANBAL"
"449","IDH3B"
"450","PXMP4"
"451","APMAP"
"452","ZNF516"
"453","ADNP2"
"454","RBFA"
"455","VAPA"
"456","METTL4"
"457","MYL12A"
"458","POLI"
"459","RBBP8"
"460","STS"
"461","TBL1X"
"462","POLA1"
"463","PRPS2"
"464","SRPX"
"465","STAG2"
"466","ATP11C"
"467","CCDC22"
"468","PLS3"
"469","ELF4"
"470","EMD"
"471","TAZ"
"472","CD99L2"
"473","KLHL4"
"474","RBM3"
"475","PBDC1"
"476","NALCN"
"477","CAB39L"
"478","KLF5"
"479","PARP4"
"480","SUPT20H"
"481","MRPS31"
"482","SLC25A15"
"483","DHRS12"
"484","TRADD"
"485","HSF4"
"486","NUTF2"
"487","CENPT"
"488","POLR2C"
"489","ZNF821"
"490","USB1"
"491","PLA2G15"
"492","CMC2"
"493","AXIN1"
"494","HCFC1R1"
"495","MLYCD"
"496","TAF1C"
"497","CRISPLD2"
"498","ABCC1"
"499","MTHFSD"
"500","ANTKMT"
"501","SLC7A5"
"502","METRN"
"503","FBXO31"
"504","STUB1"
"505","NUBP1"
"506","EEF2K"
"507","HMOX2"
"508","SALL1"
"509","XYLT1"
"510","PYCARD"
"511","BCKDK"
"512","LACTB"
"513","TRIP4"
"514","VPS18"
"515","MYEF2"
"516","CSPP1"
"517","TRIM35"
"518","ZFAND1"
"519","RIPK2"
"520","LAPTM4B"
"521","PLAT"
"522","NDRG1"
"523","TRPS1"
"524","UBR5"
"525","GSDMD"
"526","TSTA3"
"527","UBXN8"
"528","ERICH1"
"529","ARHGEF10"
"530","ECH1"
"531","HNRNPL"
"532","NFKBIB"
"533","PPP1R37"
"534","PIH1D1"
"535","PLEKHJ1"
"536","SF3A2"
"537","AMH"
"538","TBC1D17"
"539","MED25"
"540","VRK3"
"541","FAM32A"
"542","OLFM2"
"543","AKAP8"
"544","ANKRD27"
"545","FBL"
"546","GPI"
"547","EBI3"
"548","APLP1"
"549","CACTIN"
"550","DMAC2"
"551","PLIN3"
"552","NOP53"
"553","ETFB"
"554","NAPA"
"555","MEGF8"
"556","CARD8"
"557","TMEM205"
"558","PLPPR2"
"559","PLEKHA4"
"560","DNASE2"
"561","ARRDC2"
"562","ELL"
"563","TMEM59L"
"564","KXD1"
"565","CDK6"
"566","TFPI2"
"567","NAMPT"
"568","HBP1"
"569","PTN"
"570","MPP6"
"571","ADAP1"
"572","TSPAN12"
"573","FKBP14"
"574","NOD1"
"575","GARS1"
"576","MINDY4"
"577","HSPB1"
"578","MOSPD3"
"579","SERPINE1"
"580","AP1S1"
"581","PHF14"
"582","RARRES2"
"583","AHR"
"584","GLI3"
"585","TMEM248"
"586","PRKAG2"
"587","POLD2"
