"","x"
"1","CROT"
"2","CREM"
"3","CARD10"
"4","EEF2K"
"5","RIPK2"
"6","PLEKHJ1"
"7","ST3GAL4"
"8","TRAPPC13"
"9","FBXO2"
"10","EXOSC9"
"11","DUT"
"12","USP6"
"13","SLC2A11"
"14","MAP3K7"
"15","FAM13A"
"16","TMEM19"
"17","TOM1L1"
"18","ELAC1"
"19","TPRKB"
"20","TMEM209"
"21","CASK"
"22","TBCEL"
"23","CCAR2"
"24","RAD54L2"
"25","MICU2"
"26","ZNF692"
"27","RAB33B"
"28","VANGL1"
"29","UBXN2A"
"30","CTDSP2"
"31","C18orf32"
"32","MED12"
"33","ZNF239"
"34","SLC26A6"
"35","KCTD7"
"36","CLDN23"
