"","x"
"326","ZBTB25"
"327","RCOR1"
"328","SLC9A1"
"329","NDUFB2"
"330","IRAK3"
"331","TFAP4"
"332","DNAJB11"
"333","P3H2"
"334","RAB11FIP3"
"335","GOLGA3"
"336","PDPR"
"337","PLEKHG2"
"338","DLL3"
"339","PITPNM2"
"340","EXOC1"
"341","DTX2"
"342","SEL1L3"
"343","SPAG7"
"344","ZFHX4"
"345","CCDC80"
"346","PSME1"
"347","OSGEP"
"348","SLC22A17"
"349","G2E3"
"350","PHGDH"
"351","EZR"
"352","MYL6"
"353","RFFL"
"354","TGFB2"
"355","UPRT"
"356","DHPS"
"357","TMEM38B"
"358","PSMD5"
"359","CRAT"
"360","IKZF5"
"361","SORBS1"
"362","FKBP5"
"363","EFHC1"
"364","DSP"
"365","SIRT1"
"366","JAK2"
"367","ACOT7"
"368","CDC7"
"369","MACROH2A2"
"370","OCEL1"
"371","HSD3B7"
"372","SETD1A"
"373","ATP5F1D"
"374","POLR2E"
"375","RASSF7"
"376","BCL2L13"
"377","DDT"
"378","CABIN1"
"379","SLC35E4"
"380","HIRA"
"381","LGALS1"
"382","HPS4"
"383","PIK3IP1"
"384","SRRD"
"385","TRIOBP"
"386","GCAT"
"387","DDX17"
"388","HSCB"
"389","TOMM22"
"390","FBXO7"
"391","GTPBP1"
"392","POLDIP3"
"393","RHBDD3"
"394","TTLL1"
"395","TOM1"
"396","THOC5"
"397","ARSA"
"398","TSPO"
"399","ZMAT5"
"400","MYH9"
"401","SAMM50"
"402","FOXRED2"
"403","IFT27"
"404","L3MBTL2"
"405","PHF5A"
"406","PMM1"
"407","DESI1"
"408","HDAC10"
"409","KHNYN"
"410","SDR39U1"
"411","SOS2"
"412","CDKL1"
"413","PYGL"
"414","DDHD1"
"415","PIGH"
"416","TMED8"
"417","SIX4"
"418","HIF1A"
"419","SUSD6"
"420","TELO2"
"421","ACIN1"
"422","CCNB1IP1"
"423","CINP"
"424","PSMA6"
"425","NFKBIA"
"426","GMPR2"
"427","NFATC4"
"428","PLTP"
"429","PROCR"
"430","NINL"
"431","PABPC1L"
"432","STK4"
"433","RAE1"
"434","MTG2"
"435","ARFGAP1"
"436","EEF1A2"
"437","NDUFAF5"
"438","TRIB3"
"439","PLCB4"
"440","MYL9"
"441","POFUT1"
"442","MANBAL"
"443","IDH3B"
"444","PXMP4"
"445","APMAP"
"446","ZNF516"
"447","ADNP2"
"448","RBFA"
"449","VAPA"
"450","METTL4"
"451","MYL12A"
"452","POLI"
"453","RBBP8"
"454","STS"
"455","TBL1X"
"456","POLA1"
"457","PRPS2"
"458","SRPX"
"459","STAG2"
"460","ATP11C"
"461","CCDC22"
"462","PLS3"
"463","ELF4"
"464","EMD"
"465","TAZ"
"466","CD99L2"
"467","KLHL4"
"468","RBM3"
"469","PBDC1"
"470","NALCN"
"471","CAB39L"
"472","KLF5"
"473","PARP4"
"474","SUPT20H"
"475","MRPS31"
"476","SLC25A15"
"477","DHRS12"
"478","TRADD"
"479","HSF4"
"480","NUTF2"
