"","x"
"1","TSPAN6"
"2","DPM1"
"3","FUCA2"
"4","STPG1"
"5","LAS1L"
"6","CD99"
"7","KLHL13"
"8","DBNDD1"
"9","NDUFAF7"
"10","RBM6"
"11","CAMKK1"
"12","HSPB6"
"13","CROT"
"14","KMT2E"
"15","RHBDD2"
"16","ZNF195"
"17","FBXL3"
"18","REX1BD"
"19","TMEM98"
"20","TMEM132A"
"21","AP2B1"
"22","ALDH3B1"
"23","CCL26"
"24","FARP2"
"25","COX10"
"26","GTF2IRD1"
"27","MARK4"
"28","CCDC124"
"29","NADK"
"30","ADAM22"
"31","SPAG9"
"32","SS18L2"
"33","RHOBTB2"
"34","CSDE1"
"35","POMT2"
"36","ETV7"
"37","NISCH"
"38","LRRC23"
"39","TSPAN9"
"40","AKAP8L"
"41","MBTD1"
"42","RNF216"
"43","TTC19"
"44","CEP68"
"45","TMEM159"
"46","BRCA1"
"47","ERCC1"
"48","CALCOCO1"
"49","UBR7"
"50","MAP4K5"
"51","SLC25A39"
"52","MVP"
"53","RWDD2A"
"54","ANGEL1"
"55","RNF14"
"56","DDX11"
"57","HEBP1"
"58","TACC3"
"59","ZC3H3"
"60","XYLT2"
"61","NUDCD3"
"62","ATP2C1"
"63","SLC38A5"
"64","RALBP1"
"65","RUFY3"
"66","AGPS"
"67","TTC27"
"68","PHLDB1"
"69","PRDM11"
"70","SNAI2"
"71","PLEKHB1"
"72","OSBPL5"
"73","CPS1"
"74","FHL1"
"75","SLC45A4"
"76","ZNF839"
"77","RNH1"
"78","NDUFS1"
"79","RB1CC1"
"80","DERA"
"81","DEF6"
"82","DEPDC1"
"83","NR1H3"
"84","NCAPH2"
"85","TOMM34"
"86","FAS"
"87","CD44"
"88","BTN3A1"
"89","MIPEP"
"90","IFNGR1"
"91","SNX1"
"92","NUP160"
"93","GRN"
"94","FAM13B"
"95","ZCCHC8"
"96","ABCF2"
"97","FUT8"
"98","ASTE1"
"99","ADSS2"
"100","TIMP2"
"101","CUL3"
"102","USP2"
"103","TUBG2"
"104","NSUN2"
"105","FBXO42"
"106","MFAP3"
"107","PI4K2B"
"108","EDC4"
"109","PNKP"
"110","SPDL1"
"111","RAB27B"
"112","RETSAT"
"113","PHKA2"
"114","HSPA5"
"115","WDR37"
"116","ARAP2"
"117","DTNBP1"
"118","FAM184B"
"119","MAP4"
"120","GOPC"
"121","NOP16"
"122","ZNF800"
"123","SNX29"
"124","RSF1"
"125","FAM120A"
"126","KITLG"
"127","H6PD"
"128","PER3"
"129","LTBP1"
"130","RCN1"
"131","RFC2"
"132","HEXB"
"133","ARHGEF5"
"134","SLC4A8"
"135","MAPK9"
"136","HOMER3"
"137","PLEKHA5"
"138","PTPRN"
"139","FOXC1"
"140","GALC"
"141","PUM2"
"142","MRPL43"
"143","HPF1"
"144","ZNF280C"
"145","TRAF1"
"146","TRAF3IP2"
"147","PKP2"
"148","PRDM1"
"149","ATG5"
"150","USP13"
"151","LAMC2"
"152","YIPF1"
"153","FLYWCH1"
"154","PARP12"
"155","DNAJC25"
"156","SLC2A3"
"157","CTDP1"
"158","YBX3"
"159","PTPRU"
"160","MRPS35"
"161","GUCY1B1"
"162","TNK2"
"163","CDH3"
"164","DGAT2"
"165","WAPL"
"166","SPHK2"
"167","CA11"
"168","EPN1"
"169","MTMR1"
"170","HAGH"
"171","TNPO3"
"172","CTSA"
"173","SUGP2"
"174","SLC12A2"
"175","SNCAIP"
"176","HMG20B"
"177","MCM10"
"178","MYLK"
"179","CYB5R4"
"180","SEC61A2"
"181","ME1"
"182","TBC1D1"
"183","ZNRD1"
"184","ZBTB11"
"185","ATXN3"
"186","FGFR2"
"187","THUMPD1"
"188","ARFGEF1"
"189","MTFR1"
"190","FECH"
"191","NEO1"
"192","PHKA1"
