"","cell.subset","gene","logFC","FDR"
"1","Time 0","AATK",-1.22980262870581,0.00208614131857262
"2","Time 1","AATK",-1.95135408138867,0.00308311260839572
"3","Time 0","ABCC3",-2.10750551109652,0.00456895362057204
"4","Time 1","ABCC3",-4.70973917902563,0.00254596194177264
"5","Time 0","ABHD14A",-1.02793597178766,0.00537972340322661
"6","Time 1","ABHD14A",-1.84489395574535,0.00138702425973151
"7","Time 0","ACAD8",2.47276672679498,3.45948058829674e-05
"8","Time 1","ACAD8",1.96804267480939,0.000614484468266197
"9","Time 0","ADAM15",1.01254118746508,0.0044331885335045
"10","Time 1","ADAM15",1.82969495230642,0.000202676265778696
"11","Time 0","ADAMTS13",-1.73966578331893,0.00143432195144818
"12","Time 1","ADAMTS13",-1.44726354584422,0.00911908754971342
"13","Time 0","ADCK1",-0.779187323197827,0.00171894811721023
"14","Time 1","ADCK1",-1.0124189040082,0.00403724937979337
"15","Time 0","AFMID",2.52895368714575,4.52772082078552e-05
"16","Time 1","AFMID",1.41162859026284,0.00986566992507558
"17","Time 0","AGK",-0.793694710270595,0.00327445429081626
"18","Time 1","AGK",-0.716371555583043,0.00253719693858857
"19","Time 0","AL049629.2",1.30925878690742,0.00121416231703617
"20","Time 1","AL049629.2",3.01043356148748,0.00402770897212204
"21","Time 0","ANG",1.92684854439993,0.00972244942075322
"22","Time 1","ANG",1.39245410863185,0.00533451133506968
"23","Time 0","ANKRD16",0.80923270020728,0.00276297539873829
"24","Time 1","ANKRD16",1.06593312507081,1.55525709802258e-05
"25","Time 0","ANKS3",0.581664418682211,0.00155347297765826
"26","Time 1","ANKS3",0.718357890404593,0.00497566100185637
"27","Time 0","AP1S1",1.1192445297313,0.000562819093619663
"28","Time 1","AP1S1",0.853893162558033,0.00972486571327335
"29","Time 0","APBA3",-1.144677712584,0.000355432352154845
"30","Time 1","APBA3",-1.32167709996228,0.000883879746366294
"31","Time 0","APOBEC3G",-3.50562094099256,0.000164255282962882
"32","Time 1","APOBEC3G",-3.48832550128596,0.00485906063950351
"33","Time 0","ARHGAP19",-0.83533857194309,0.00581442051758155
"34","Time 1","ARHGAP19",-1.11248149642581,0.00638921810952638
"35","Time 0","ARL8B",-0.640473881929227,0.00594138932043973
"36","Time 1","ARL8B",-0.925730977850423,0.00366253693605496
"37","Time 0","ARMC7",1.22804032318818,0.00266133060786092
"38","Time 1","ARMC7",0.777665576412782,0.00986566992507558
"39","Time 0","ARPIN",-2.19861817227516,9.88976755775585e-07
"40","Time 1","ARPIN",-1.464246555354,0.000120412282586498
"41","Time 0","ARRDC1",0.755576731881179,0.00684727876301041
"42","Time 1","ARRDC1",1.39219055075735,0.00702589463038656
"43","Time 0","ARSK",0.845793409715157,0.00332234539835381
"44","Time 1","ARSK",0.669841744243334,0.00428176825351481
"45","Time 0","B3GNT8",-1.54005082222692,0.000241978852863925
