"","cell.subset","gene","logFC","FDR"
"1","Time 1","AARS1",-1.50822118653151,0.00345659717949045
"2","Time 1","ABCB7",-0.765601649312782,0.00905566073059466
"3","Time 1","ABHD17A",0.260634897538599,0.00675271170710855
"4","Time 1","ABITRAM",-0.913187479111661,0.00744634186968424
"5","Time 1","ABL2",1.21455952773533,0.00951760569325485
"6","Time 1","ACAA2",-0.78222597188489,0.00755050897980061
"7","Time 1","ACADSB",-1.27583753311241,0.00851256335370913
"8","Time 1","ADCY9",-2.15384885225499,0.00146323107772647
"9","Time 1","AGRN",2.53048954744455,0.00200609651726364
"10","Time 1","AIMP2",-1.6999584940901,0.00156048249133879
"11","Time 1","ALDH5A1",1.21928545365379,0.00172275353310254
"12","Time 1","ALDOA",1.14543522376844,0.00712752636386766
"13","Time 1","ANAPC4",-0.604157520649112,0.000289146284729468
"14","Time 1","ANKFY1",-0.636868959713224,0.00533451133506968
"15","Time 1","ANKRD13C",-0.851707683862975,0.00469011129305411
"16","Time 1","ANKRD13D",0.799664550307872,0.00528000154737986
"17","Time 1","ANKRD29",-2.96021536164257,0.00225934639045354
"18","Time 1","AQR",-0.768368422867645,0.00170463057565462
"19","Time 1","ARCN1",-0.503753930875156,0.0082965052963787
"20","Time 1","ARL16",0.934468347194493,0.00212146816386801
"21","Time 1","ARL6IP5",0.793584353385198,0.00332766585492521
"22","Time 1","ARL8A",1.26260385692615,0.00988219978586532
"23","Time 1","ARMH3",-0.51794594867271,0.00641864032937218
"24","Time 1","ARPC3",0.630152783959045,0.00883906844924476
"25","Time 1","ASGR1",2.2313090865674,0.00121572572037567
"26","Time 1","ASXL2",-0.548701767701759,0.00937234407534132
"27","Time 1","ATL1",4.49780315505807,0.000497683418810056
"28","Time 1","ATL2",-0.877127938907138,0.00294995018750274
"29","Time 1","ATM",-0.831906890526734,0.00463388240111275
"30","Time 1","ATP1A1",-1.56662524465396,0.00523525220044623
"31","Time 1","ATXN7L2",-0.990191729934619,0.00896342408138428
"32","Time 1","B3GAT3",1.1091831442775,0.00999818008604977
"33","Time 1","B3GLCT",-1.61236799727217,0.000272745411250593
"34","Time 1","BABAM1",0.485496065667703,0.00399349939819676
"35","Time 1","BAIAP2",1.05089221988632,0.00178509122806769
"36","Time 1","BMP2K",-1.7880802391345,0.00341535393280042
"37","Time 1","BMPR1A",-0.44699319117433,0.00640089638275418
"38","Time 1","BRCA2",-2.34998612783771,0.00988219978586532
"39","Time 1","BRMS1L",-0.620218833623224,0.00924107005747769
"40","Time 1","C17orf80",-0.756424971161266,0.00442193862428937
"41","Time 1","C1orf50",0.843300664508786,0.00638921810952638
"42","Time 1","C1orf54",3.89353626939385,0.00568151968541341
"43","Time 1","C3orf14",-1.18850918345487,0.00463417752503476
"44","Time 1","C5orf38",-2.86053169730787,0.00310520577868556
"45","Time 1","C8orf76",0.817245653698023,0.00114311136640767
