"","cell.subset","gene","logFC","FDR"
"1","Time 0","A4GALT",1.66948816401404,0.0010073017751675
"2","Time 0","AAGAB",-0.705941692424784,0.000222103204480309
"3","Time 0","AASDH",-0.627580848627205,0.00327368120540214
"4","Time 0","ABCA2",-1.20238912628889,0.00966153818849896
"5","Time 0","ABCC4",-1.97105540420487,4.55242934325379e-05
"6","Time 0","ABCC5",-0.545623736615076,0.00267220029027404
"7","Time 0","ABCD4",0.971688561499695,0.000120526001611001
"8","Time 0","ABHD11",-0.92816832862767,0.00175290668918116
"9","Time 0","ABHD4",-1.2013780376515,0.00588401765295611
"10","Time 0","ABHD8",-0.708659043602066,0.000937069261945397
"11","Time 0","ABL1",-0.729900065243538,0.00454674010066983
"12","Time 0","ABR",-1.21225920538413,0.0010106327634097
"13","Time 0","AC010422.8",-1.24247153422596,0.00958045637821221
"14","Time 0","ACADM",0.773953617864337,0.00966153818849896
"15","Time 0","ACADS",-1.09619192790102,0.00261025122046233
"16","Time 0","ACADVL",0.639886828533652,0.00168887968675647
"17","Time 0","ACAP1",-2.12306192785134,3.95942783146319e-05
"18","Time 0","ACBD4",-1.23439290535759,0.00833969432321957
"19","Time 0","ACCS",-1.59673314807831,0.000595952171394108
"20","Time 0","ACER3",-0.424972200806193,0.00657565937988177
"21","Time 0","ACOX1",-0.493188831693098,0.00243845984411865
"22","Time 0","ACOX3",0.989544842205302,0.0049989092515124
"23","Time 0","ACSF2",-1.18133750603571,0.00288373074868368
"24","Time 0","ACSL3",-0.606980528103811,0.00753862786337231
"25","Time 0","ACTR8",0.784861130445852,0.00395883440477378
"26","Time 0","ACVR1B",-0.761331964114444,0.00409257270905751
"27","Time 0","ADAMTS12",1.244480743504,0.00120267045911614
"28","Time 0","ADAMTS7",-0.96566345137001,0.00737728888522516
"29","Time 0","ADAP1",1.20605507444142,0.00483031955342609
"30","Time 0","ADARB1",0.540543845380111,0.00918782913285982
"31","Time 0","ADGRA2",-2.22492245782729,0.000625657818816715
"32","Time 0","ADORA1",1.9437159336425,0.00948839757666807
"33","Time 0","ADORA2B",1.16072395642421,0.00673606235312299
"34","Time 0","AEBP1",-0.572866790048277,0.00835429398412119
"35","Time 0","AGA",-1.57454261785926,7.41925870188358e-05
"36","Time 0","AGPAT5",0.685800926307876,0.00241886592262062
"37","Time 0","AGPS",-0.510391878044874,0.000143043451893909
"38","Time 0","AGTPBP1",0.650949704548458,0.000960795228110431
"39","Time 0","AHCYL1",0.596134648478662,0.00288013655943209
"40","Time 0","AIG1",0.992588540628709,0.00321310863210685
"41","Time 0","AIMP1",-0.738525012759851,0.00965929487721058
"42","Time 0","AJM1",-1.05132218352013,0.00373098409526467
"43","Time 0","AKIRIN1",0.878492864651465,0.00252077390232924
"44","Time 0","ALDH1L2",2.57531655142523,0.00197378345433827
"45","Time 0","ALDH7A1",-0.874626006721664,0.00101208048173439
"46","Time 0","ALG2",0.831159696823315,0.0078689496413435
"47","Time 0","ALKBH4",-0.82355150170137,0.00643188408240734
"48","Time 0","ALKBH8",-0.72476140874968,0.00565648649915921
"49","Time 0","ANAPC10",1.04559921567064,0.000286896196999437
"50","Time 0","ANAPC16",0.748494703895961,0.00555091232464215
"51","Time 0","ANGEL1",-0.889706951042501,0.00630963466264811
"52","Time 0","ANKAR",1.88762574753841,0.00214378597036822
"53","Time 0","ANKHD1",0.847254907990728,0.00497545580987586
"54","Time 0","ANKRD11",0.533073550496075,0.00856125937281513
"55","Time 0","ANKRD28",-0.7681986180505,0.00675749297229256
"56","Time 0","ANKRD42",-0.713869403716053,0.000868104406356409
"57","Time 0","ANKRD46",-0.904316296448908,0.00889958204869279
"58","Time 0","ANKRD54",0.814592099921257,0.00233380192601131
"59","Time 0","ANKS6",1.1756565431357,0.00308940972713053
"60","Time 0","AOX1",-1.17585020700437,0.00742559936396969
"61","Time 0","AP2A1",-0.44109156134326,0.00524562213162458
"62","Time 0","AP4B1",-0.951262842326612,0.000534886256651052
"63","Time 0","AP5B1",0.606794048162708,0.00190339097777965
"64","Time 0","APBB2",-0.856984445514516,0.00168059861882498
"65","Time 0","APBB3",-1.14248965863556,0.000951284282121545
"66","Time 0","APEX2",0.484078195219966,0.00285377084608869
"67","Time 0","APPBP2",-0.757314262132093,0.000518337784976114
"68","Time 0","AQP3",-1.21455678579811,0.00819350273872277
"69","Time 0","ARAF",-0.541337242287064,0.0027607425860176
"70","Time 0","ARAP1",1.28747584612172,0.0040430568709855
"71","Time 0","ARAP2",-1.25025034782488,0.00445197852359272
"72","Time 0","ARF3",-0.426363578502193,0.00996305128596584
"73","Time 0","ARFGEF1",0.350022769357355,0.00650918122914985
"74","Time 0","ARHGDIG",2.03132293063969,0.000243318390149023
"75","Time 0","ARHGEF17",-0.894149204836785,0.00147094816495771
"76","Time 0","ARHGEF5",1.72540364406853,0.0012840858007975
"77","Time 0","ARL4D",1.93908515749594,0.00143432195144818
"78","Time 0","ARMC2",-1.94335246728204,0.000465412742790458
"79","Time 0","ARNTL2",0.533141928918408,0.00967145630296612
"80","Time 0","ARPC1A",0.645938108993602,0.00437978637421505
"81","Time 0","ARPC5",1.01384853941689,5.66151353482076e-05
"82","Time 0","ARSG",-1.52469092409617,0.00152955277755433
"83","Time 0","ARSJ",2.31881890100133,0.00261435690077903
"84","Time 0","ARVCF",-0.70216902734947,0.000255599709435659
"85","Time 0","ASAH1",1.91150759285872,1.19060556520679e-05
"86","Time 0","ASB7",-0.50946623106283,0.00543694596586943
"87","Time 0","ASB8",1.26874238513509,6.03249345674461e-05
"88","Time 0","ASPH",-0.459983935185396,0.00618652317470982
"89","Time 0","ASPHD2",1.1778799025611,0.00851241859559213
