"","cell.subset","gene","logFC"
"110","maturing osteocyte","TRIM52",-2.97025720911027
"111","preosteoblast","TTC32",-2.56167378345241
"112","osteoblast","TTC32",-3.01085405218846
"113","embedding osteoblast","TTC32",-2.84858838379493
"114","mineralizing osteoblast","TTC32",-2.7183999991027
"115","maturing osteocyte","TTC32",-3.01132859693536
"116","preosteoblast","TTC38",-1.79731637822366
"117","osteoblast","TTC38",-2.04395939378972
"118","embedding osteoblast","TTC38",-1.73459586390796
"119","mineralizing osteoblast","TTC38",-1.79763224808369
"120","maturing osteocyte","TTC38",-1.80854729856263
"121","preosteoblast","ULBP2",5.17603581902857
"122","osteoblast","ULBP2",6.93101393089032
"123","embedding osteoblast","ULBP2",6.92794458765701
"124","mineralizing osteoblast","ULBP2",7.43921933406705
"125","maturing osteocyte","ULBP2",4.89451147287854
